([1, 0, 0, 0, 0, 0, 0, 0, 0, 0], [3, 5, 37, 1, 1, 2, 1, 1, 1])
([-1, 0, 0, 1, 0, 0, 0, 0, 0, 0], [3, 11, 0, 3, 3, 3, 7, 3, 3])
([1, 0, -1, 1, 0, 0, 0, 0, 0, 0], [9, 0, 0, 1, 1, 1, 1, 1, 1])
([-1, 0, -1, 1, 0, 0, 0, 0, 1, 0], [1, 0, 0, 1, 1, 1, 5, 0, 1])
([1, 0, -1, 1, 0, 0, 0, 0, 1, -1], [5, 0, 0, 2, 1, 1, 1, 0, 0])
([-1, 0, -1, 1, 0, 0, 1, 0, 1, -1], [2, 0, 0, 2, 2, 0, 7, 0, 0])
([1, 0, -1, 1, 0, -1, 1, 0, 1, -1], [3, 0, 0, 2, 0, 0, 1, 0, 0])
([-1, 0, -1, 1, 1, -1, 1, 0, 1, -1], [1, 0, 0, 0, 0, 0, 1, 0, 0])
([1, -1, -1, 1, 1, -1, 1, 0, 1, -1], [0, 0, 0, 0, 0, 0, 3, 0, 0])
([1, 0, 0, 0, 0, 0, 0, 0, 0, 0], [2, 2, 2, 3, 3, 3, 61, 1, 1])
([-1, 0, 0, 0, 0, 0, 0, 1, 0, 0], [11, 7, 7, 9, 15, 7, 0, 14, 7])
([1, -1, 0, 0, 0, 0, 0, 1, 0, 0], [0, 1, 35, 1, 1, 1, 0, 1, 1])
([-1, -1, 0, 0, 1, 0, 0, 1, 0, 0], [0, 2, 2, 0, 2, 2, 0, 4, 2])
([1, -1, 0, 0, 1, 0, 0, 1, -1, 0], [0, 2, 6, 0, 1, 2, 0, 0, 1])
([-1, -1, 0, 1, 1, 0, 0, 1, -1, 0], [0, 2, 0, 0, 4, 2, 0, 0, 2])
([1, -1, -1, 1, 1, 0, 0, 1, -1, 0], [0, 0, 0, 0, 3, 1, 0, 0, 1])
([-1, -1, -1, 1, 1, 0, 1, 1, -1, 0], [0, 0, 0, 0, 1, 0, 0, 0, 1])
([1, 0, 0, 0, 0, 0, 0, 0, 0, 0], [36, 2, 76, 1, 1, 1, 1, 1, 3])
([-1, 0, 0, 1, 0, 0, 0, 0, 0, 0], [3, 5, 0, 2, 2, 4, 2, 2, 2])
([1, 0, 0, 1, 0, 0, -1, 0, 0, 0], [38, 1, 0, 1, 3, 0, 1, 1, 1])
([-1, 1, 0, 1, 0, 0, -1, 0, 0, 0], [0, 8, 0, 7, 7, 0, 7, 9, 7])
([1, 1, 0, 1, 0, 0, -1, 0, 0, -1], [0, 18, 0, 1, 1, 0, 1, 1, 0])
([1, 0, 0, 0, 0, 0, 0, 0, 0, 0], [3, 3, 35, 1, 1, 1, 3, 1, 1])
([-1, 0, 0, 1, 0, 0, 0, 0, 0, 0], [6, 4, 0, 14, 4, 4, 18, 6, 4])
([1, 0, 0, 1, 0, 0, 0, -1, 0, 0], [2, 3, 0, 17, 1, 1, 0, 1, 1])
([-1, 0, 0, 1, 1, 0, 0, -1, 0, 0], [3, 3, 0, 0, 2, 2, 0, 2, 2])
([1, 0, 0, 1, 1, 0, -1, -1, 0, 0], [2, 14, 0, 0, 1, 0, 0, 3, 1])
([-1, 1, 0, 1, 1, 0, -1, -1, 0, 0], [0, 2, 0, 0, 2, 0, 0, 1, 1])
([1, 1, -1, 1, 1, 0, -1, -1, 0, 0], [0, 0, 0, 0, 1, 0, 0, 1, 1])
([-1, 1, -1, 1, 1, 0, -1, -1, 0, 1], [0, 0, 0, 0, 1, 0, 0, 1, 0])
